,date,open,high,low,close,cje,volume,change,code,position,short_window,long_window,s-l,a50
318,2016/3/23,0.432,0.442,0.429,0.44,116.65,268678600,0.0166,strategy3data,1,0.4103,0.408266667,0.002033333,9660
319,2016/3/24,0.436,0.442,0.426,0.429,130.77,301041800,0.0091,strategy3data,1,0.4146,0.4087,0.0059,9497.5
320,2016/3/25,0.427,0.434,0.425,0.432,83.9,195544700,0.0029,strategy3data,1,0.4193,0.409466667,0.009833333,9630
321,2016/3/28,0.434,0.449,0.43,0.433,132.12,300137300,0.0177,strategy3data,1,0.4226,0.4105,0.0121,9495
322,2016/3/29,0.432,0.433,0.416,0.424,108.25,254773500,0.0045,strategy3data,1,0.4256,0.410733333,0.014866667,9435
323,2016/3/30,0.43,0.445,0.428,0.445,135.57,310662800,0.0299,strategy3data,1,0.4311,0.411666667,0.019433333,9625
324,2016/3/31,0.447,0.449,0.44,0.443,110.16,247709400,0.0282,strategy3data,1,0.435,0.412633333,0.022366667,9600
325,2016/4/1,0.442,0.443,0.43,0.438,89.42,204988400,0.0191,strategy3data,1,0.4368,0.4133,0.0235,9590
326,2016/4/5,0.436,0.458,0.434,0.455,136.4,305131800,0.0471,strategy3data,1,0.4374,0.413966667,0.023433333,9650
327,2016/4/6,0.45,0.456,0.447,0.454,100.23,221794800,,strategy3data,0,0.4393,0.4148,0.0245,9620
328,2016/4/7,0.458,0.46,0.44,0.442,87.19,194558700,,strategy3data,0,0.4395,0.415233333,0.024266667,9495
329,2016/4/8,0.437,0.438,0.429,0.435,79.68,183845100,,strategy3data,0,0.4401,0.4165,0.0236,9525
330,2016/4/11,0.439,0.45,0.437,0.443,85.56,192295900,,strategy3data,0,0.4412,0.418066667,0.023133333,9595
331,2016/4/12,0.442,0.444,0.437,0.439,62.69,142549100,,strategy3data,0,0.4418,0.4201,0.0217,9590
